food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0122,Northern whiting (S. sihama),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",16,Not Reported,UNKNOWN,Optical microscopy
FW_0123,Obtuse barracuda (S. obtusata),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0,115–210 µm,PE,Optical microscopy
FW_0124,Orange-spotted grouper (E. coioides),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",7.75,Not Reported,UNKNOWN,Optical microscopy
FW_0125,Orange-spotted grouper (E. coioides),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.158,Fibers 50–8000 µm Fragments <500 µm,UNKNOWN,Optical microscopy
FW_0126,Orient clam (M. lusoria),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",4.1,5–5000 µm,PE,Optical microscopy
FW_0127,Oyster,Marine animal origin,"Digestion: lipase, protease (200 rpm, 60°C, 24 h); density separation NaCL (ρ = 1.2 g/mL)",1.13,50–1000 µm,PE,µ-FTIR
FW_0128,Oyster (A. plicatula),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",5.7,5–5000 µm,PE,Optical microscopy
FW_0129,Oyster (Background area),Marine animal origin,"Digestion: 10% KOH (70 rpm, 60–65°C, 24 h + rt, 24 h); density separation: saturated NaI solution; staining: 0.1 µg/L Nile red",0.06,100–500 µm,PET,Optical microscopy
FW_0130,Oyster (C. gasar - Epatopancreas),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h); density separation: NaCl",0.64,30–5000 µm,UNKNOWN,Optical microscopy
FW_0131,"Oyster (C. gigas - Depurated, 3 days)",Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.35,Not Reported,UNKNOWN,Optical microscopy
FW_0132,Oyster (C. gigas - Untreated),Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.47,Not Reported,UNKNOWN,Optical microscopy
FW_0133,Oyster (C. gigas),Marine animal origin,Digestions: 10% KOH (24 h); density separation: NaCl (ρ = 1.2 g/cm3),10.95,Not Reported,PET,Optical microscopy
